food_name,indian_name,category,classification,health_score,calories_per_100g,protein_g,carbs_g,fats_g,fiber_g,tip
roti,Roti / Chapati,Bread,Healthy,82,297,9.8,61.0,3.7,2.1,Use whole wheat atta for extra fiber
rice,Steamed Rice / Chawal,Grain,Moderate,65,130,2.7,28.2,0.3,0.4,Eat in moderate portions with dal and sabzi
biryani,Biryani,Rice Dish,Moderate,55,200,8.5,28.0,7.0,1.2,Homemade biryani is much healthier than restaurant
samosa,Samosa,Fried Snack,Junk,28,308,5.5,32.0,18.0,2.1,Bake instead of fry to make it healthier
dal,Dal / Lentil Curry,Lentils,Healthy,88,116,9.0,20.0,0.4,7.9,Excellent protein source — eat daily!
idli,Idli,Steamed,Healthy,85,39,2.0,7.9,0.2,0.5,Great breakfast — low calorie and easy to digest
dosa,Dosa,Crepe,Moderate,68,168,3.5,24.0,6.5,0.9,Plain dosa is healthier than masala dosa
butter_chicken,Butter Chicken,Curry,Moderate,52,150,12.0,8.0,9.0,0.5,Reduce cream and butter for healthier version
naan,Naan,Bread,Moderate,50,310,9.0,55.0,5.0,1.5,Limit to 1 piece — high in refined flour
palak_paneer,Palak Paneer,Vegetable Curry,Healthy,78,180,9.5,8.0,12.5,2.5,Excellent iron and calcium combo!
chole,Chole / Chana Masala,Legume Curry,Healthy,80,164,8.9,27.0,2.6,7.6,High fiber and protein — great for health
puri,Puri,Fried Bread,Junk,30,340,7.5,45.0,16.0,1.8,Deep fried — have occasionally only
pakora,Pakora / Bhajiya,Fried Snack,Junk,25,280,6.0,30.0,16.0,2.0,Air fry instead of deep fry for healthier option
gulab_jamun,Gulab Jamun,Dessert,Junk,20,387,5.0,65.0,12.0,0.5,High sugar — occasional treat only
khichdi,Khichdi,One Pot,Healthy,84,124,5.0,23.0,1.5,2.5,Perfect comfort food — balanced and nutritious
upma,Upma,Breakfast,Healthy,76,160,4.5,28.0,4.5,2.0,Add more vegetables to boost nutrition
poha,Poha,Breakfast,Healthy,74,180,3.5,35.0,3.0,1.5,Light and digestible — great morning meal
rajma,Rajma / Kidney Beans,Legume Curry,Healthy,83,127,8.7,22.0,0.5,6.4,Rich in protein and iron
aloo_gobi,Aloo Gobi,Vegetable Curry,Moderate,65,95,3.0,15.0,3.5,3.0,Reduce oil and add turmeric
paneer,Paneer Dishes,Dairy,Moderate,62,265,18.3,3.4,20.8,0.0,Good protein but high fat — moderate portions
sandwich,Sandwich,Snack,Moderate,58,250,10.0,30.0,10.0,2.5,Use whole grain bread and add vegetables
vada_pav,Vada Pav,Street Food,Junk,25,290,7.0,42.0,12.0,2.5,Deep fried and high carb — occasional treat
pav_bhaji,Pav Bhaji,Street Food,Moderate,48,210,6.0,32.0,8.0,3.5,Bhaji is nutritious but pav adds refined carbs
chaat,Chaat,Street Food,Moderate,45,180,5.5,28.0,7.0,3.0,Homemade chaat with less oil is better
kebab,Kebab / Tikka,Grilled,Healthy,72,165,22.0,5.0,7.5,0.5,Grilled protein — great choice!
uttapam,Uttapam,Breakfast,Healthy,78,180,5.0,30.0,5.0,2.5,Fermented batter with vegetables
dhokla,Dhokla,Steamed Snack,Healthy,79,160,5.5,28.0,3.5,1.8,Fermented and steamed — great healthy snack!
raita,Raita,Dairy Side,Healthy,77,62,3.5,6.0,2.5,0.5,Probiotic benefits — have with every meal
paratha,Paratha,Stuffed Bread,Moderate,55,300,7.5,42.0,12.0,2.5,Plain paratha with minimal ghee is moderate
chicken_curry,Chicken Curry,Non-veg Curry,Moderate,65,175,18.0,5.0,10.0,0.5,Homemade with less oil is healthy protein
fish_curry,Fish Curry,Non-veg Curry,Healthy,75,150,20.0,4.0,7.0,0.5,Excellent omega-3 source
egg_curry,Egg Curry,Non-veg Curry,Healthy,72,165,11.0,5.0,12.0,0.5,Good protein — control the oil
omelette,Omelette / Anda,Egg,Healthy,80,154,10.6,0.6,11.8,0.0,Add vegetables for more nutrition
salad,Salad / Kachumber,Raw Vegetable,Healthy,95,45,2.0,8.0,0.5,3.5,Best food choice — eat before every meal!
soup,Soup / Shorba,Soup,Healthy,82,65,3.5,8.0,2.0,1.5,Homemade soup is great — avoid packet soups
halwa,Halwa / Indian Dessert,Dessert,Junk,30,380,4.5,55.0,16.0,1.5,High ghee and sugar — have on special occasions
saag,Saag / Sarson da Saag,Green Vegetable,Healthy,90,50,3.0,7.0,1.5,4.0,Excellent iron and vitamins — winter must-have!
lassi,Plain Lassi,Beverage,Healthy,72,100,5.0,12.0,3.5,0.0,Probiotic drink — great for gut health
chai,Chai / Masala Tea,Beverage,Moderate,45,50,1.5,6.5,2.0,0.0,Limit sugar — 1-2 cups per day maximum
coconut_water,Coconut Water,Beverage,Healthy,88,19,0.7,3.7,0.2,1.1,Best natural electrolyte drink!
payasam,Payasam / Kheer,Dessert,Junk,25,160,3.5,28.0,4.5,0.5,High sugar — have on festivals only
apple_pie,Apple Pie,Dessert,Junk,30,237,2.4,34.0,11.0,1.5,High sugar and butter — occasional treat
baby_back_ribs,Pork Ribs,Non-veg,Moderate,48,292,26.0,0.0,20.0,0.0,High protein but also high fat — moderate
baklava,Baklava,Dessert,Junk,28,428,5.0,52.0,24.0,2.0,Very high sugar and fat — small portion only
beef_carpaccio,Beef Carpaccio,Non-veg,Moderate,55,150,20.0,1.0,8.0,0.0,Raw beef — good protein but eat carefully
beef_tartare,Beef Tartare,Non-veg,Moderate,52,185,18.0,2.0,12.0,0.0,Raw beef — high protein
beet_salad,Beet Salad,Salad,Healthy,85,43,1.6,10.0,0.2,2.8,Rich in antioxidants and folate — excellent!
beignets,Beignets / Fried Dough,Fried Snack,Junk,22,306,5.0,40.0,15.0,1.0,Deep fried dough — avoid regularly
